,Static,Stop-Loss / Take-Profit,Monthly Rebalance,ML Portfolio
2021-09-29,5000.0,5000.0,5000.0,5000.0
2021-09-30,4944.059670902143,4944.059670902143,4952.610221498787,4965.0328780353575
2021-10-01,4975.647066722736,4975.647066722736,4968.6324408824485,5022.8392113965865
2021-10-02,4975.647066722736,4975.647066722736,4968.6324408824485,5022.8392113965865
2021-10-03,4975.647066722736,4975.647066722736,4968.6324408824485,5022.8392113965865
2021-10-04,4935.539050837317,4935.539050837317,4853.503570621638,4924.37551281334
2021-10-05,5017.787831592368,5017.787831592368,4909.450535533645,4972.046673032634
2021-10-06,5036.708646454443,5036.708646454443,4930.125350479968,4996.215258386924
2021-10-07,5095.56286052758,5095.562860527581,4973.4916304578655,5056.723697204549
2021-10-08,5116.022117614563,5116.022117614565,4955.462059004238,5072.355413002698
2021-10-09,5116.022117614563,5116.022117614565,4955.462059004238,5072.355413002698
2021-10-10,5116.022117614563,5116.022117614565,4955.462059004238,5072.355413002698
2021-10-11,5094.781919863566,5094.781919863567,4932.161338140247,5044.897413037695
2021-10-12,5053.624214727074,5053.624214727074,4903.487097549731,5046.470417143224
2021-10-13,5067.258624145983,5067.258624145984,4941.415593622516,5063.623498183367
2021-10-14,5159.176335263427,5159.176335263428,5054.0690252170025,5121.122458222373
2021-10-15,5182.970669782338,5182.9706697823385,5101.825264816393,5141.364078183707
2021-10-16,5182.970669782338,5182.9706697823385,5101.825264816393,5141.364078183707
2021-10-17,5182.970669782338,5182.9706697823385,5101.825264816393,5141.364078183707
2021-10-18,5179.606613038862,5179.606613038863,5156.942476567758,5169.349935227951
2021-10-19,5220.310394825207,5220.310394825208,5239.370223107576,5213.715943767013
2021-10-20,5253.860791162632,5253.860791162633,5239.977496166017,5217.54054578008
2021-10-21,5277.166893408133,5277.166893408134,5262.819657619654,5247.468107812498
2021-10-22,5302.317963004445,5302.317963004446,5290.2029820656435,5255.011900796849
2021-10-23,5302.317963004445,5302.317963004446,5290.2029820656435,5255.011900796849
2021-10-24,5302.317963004445,5302.317963004446,5290.2029820656435,5255.011900796849
2021-10-25,5317.98072263329,5317.9807226332905,5318.27666862558,5289.660656597361
2021-10-26,5303.844995789759,5303.844995789759,5310.7167246979225,5279.965932926211
